trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,selected_source,available_sources,fallback_used,render_mode,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
121,120,1,dJ_+1,41,40,41,J 40->41,exomol,exomol,no,exomol,1084,4001,1.656840192238e-17,7.582683168397e-18,#be2102,5,yes,no
122,124,-1,dJ_-1,41,41,40,J 41->40,exomol,exomol,no,exomol,1046,4001,2.819197434038e-18,1.860134943544e-18,#b91e02,5,yes,no
123,122,0,dJ_+0,41,41,41,J 41->41,exomol,exomol,no,exomol,1110,4001,6.013521152934e-18,2.609614790068e-18,#b41b01,5,yes,no
124,121,1,dJ_+1,42,41,42,J 41->42,exomol,exomol,no,exomol,1132,4001,7.338463823192e-18,3.877439856968e-18,#af1801,5,yes,no
125,128,-1,dJ_-1,43,42,41,J 42->41,exomol,exomol,no,exomol,1041,4001,7.968709127491e-20,5.774980119929e-20,#a91601,5,yes,no
126,125,0,dJ_+0,42,42,42,J 42->42,exomol,exomol,no,exomol,1158,4001,8.855070267056e-19,3.807950072711e-19,#a41301,5,yes,no
127,130,1,dJ_+1,44,42,43,J 42->43,exomol,exomol,no,exomol,1192,4001,2.988281265689e-20,4.076806078411e-20,#9e1001,5,yes,no
128,127,-1,dJ_-1,42,43,42,J 43->42,exomol,exomol,no,exomol,995,4001,1.043092163688e-19,7.453667271188e-20,#980e01,5,yes,no
129,129,0,dJ_+0,43,43,43,J 43->43,exomol,exomol,no,exomol,1220,4001,5.655683656488e-20,3.219166498521e-20,#920b01,5,yes,no
130,126,1,dJ_+1,43,43,44,J 43->44,exomol,exomol,no,exomol,1281,4001,1.827696064910e-19,1.242848345464e-19,#8b0902,5,yes,no
131,133,-1,dJ_-1,44,44,43,J 44->43,exomol,exomol,no,exomol,764,4001,3.372164309587e-21,1.730824651109e-21,#850702,5,yes,no
132,132,0,dJ_+0,44,44,44,J 44->44,exomol,exomol,no,exomol,959,4001,4.885858014825e-21,4.016954451188e-21,#7e0502,5,yes,no
133,131,1,dJ_+1,45,44,45,J 44->45,exomol,exomol,no,exomol,910,4001,1.968888988676e-20,7.801371830909e-21,#7a0403,5,yes,no
