 61 2919.982362 1.558E-24 4.695E-01.04400.069 1680.75980.75-.005840    0 0 1 1 1E     0 0 0 1 1F2    7F1 54         8F2  4     332333332329 1 1 1    45.0   51.0
 61 2921.301115 2.782E-24 8.342E-01.04400.069 1679.56300.75-.005843    0 0 1 1 1E     0 0 0 1 1F2    7F2 53         8F1  3     332333332329 1 1 1    45.0   51.0
 61 2923.580920 2.945E-23 1.621E+01.02900.050 1720.80020.75-.005847    0 0 1 1 1E     0 0 0 1 1F2    7E  46         8E   4     332333332329 1 1 1    30.0   34.0
 61 2923.675800 3.615E-23 1.324E+01.03900.062 1720.43200.75-.005847    0 0 1 1 1E     0 0 0 1 1F2    7F1 70         8F2  6     332333332329 1 1 1    45.0   51.0
 61 2923.734683 3.408E-23 1.226E+01.03900.062 1716.63430.75-.005847    0 0 1 1 1E     0 0 0 1 1F2    7F2 65         8F1  5     332333332329 1 1 1    45.0   51.0
 61 2923.861000 6.377E-23 1.373E+01.04500.100 1716.09270.75-.005848    0 0 1 1 1E     0 0 0 1 1F2    7A2 24         8A1  2     332333332329 1 1 1    75.0   85.0
 61 2925.216821 8.928E-25 1.101E+00.03900.063 2057.91670.75-.005850    0 0 1 1 1E     0 0 0 1 1F2   11F1 82        12F2  3     332333332329 1 1 1    69.0   75.0
 61 2925.243446 8.808E-25 1.086E+00.03900.063 2057.89280.75-.005850    0 0 1 1 1E     0 0 0 1 1F2   11F2 81        12F1  3     332333332329 1 1 1    69.0   75.0
 61 2926.351390 2.025E-25 5.942E-02.04400.069 1674.39070.75-.005853    0 0 1 1 1E     0 0 0 1 1F2    7F1 54         8F2  3     332333332329 1 1 1    45.0   51.0
 61 2926.800300 2.583E-25 9.340E-02.03900.062 1717.30750.75-.005854    0 0 1 1 1E     0 0 0 1 1F2    7F1 70         8F2  5     332333332329 1 1 1    45.0   51.0
 61 2928.254565 5.460E-23 1.672E+01.04400.069 1682.88820.75-.005857    0 0 1 1 1E     0 0 0 1 1F2    7F2 57         8F1  4     332333332329 1 1 1    45.0   51.0
 61 2931.017054 4.265E-25 1.187E-01.04400.069 1633.38770.75-.005862    0 0 1 1 1E     0 0 0 1 1F2    6F2 58         7F1  6     332333332329 1 1 1    39.0   45.0
