nu,[0]CH4-HITRAN:X=0.0001-T=300K-P=0.13157894736842105atm-L=100cm
2501.23,2.819812800824629e-8
2501.24,2.724260565383102e-8
2501.25,2.684527958214442e-8
2501.26,2.6801847767278388e-8
2501.27,2.7175302711001673e-8
2501.28,2.753669186172278e-8
2501.29,2.7924951408122574e-8
2501.3,2.8841283777467932e-8
2501.31,2.9594102939822978e-8
2501.32,3.064041056745468e-8
2501.33,3.2064334368780724e-8
2501.34,3.3881559243770504e-8
2501.35,3.6301396104088626e-8
2501.36,3.9112766346787715e-8
2501.37,4.213414705968908e-8
2501.38,4.666350137477833e-8
2501.39,5.251601946872049e-8
2501.4,6.008710465411256e-8
2501.41,7.207554812934446e-8
2501.42,9.362500857667453e-8
2501.43,1.0178844818812155e-7
2501.44,1.2472538469364596e-7
2501.45,1.67839754968393e-7
2501.46,2.486026667122534e-7
2501.47,4.278318550920081e-7
2501.48,9.660317962052825e-7
2501.49,0.000003467959915524741
2501.5,0.000006290594064778479
2501.51,0.0000019628953752592888
2501.52,7.896417297977885e-7
2501.53,6.878679769043783e-7
2501.54,0.0000014321366154032304
2501.55,0.00000208026988850658
2501.56,7.804167654244094e-7
2501.57,3.832591614652867e-7
2501.58,3.0801107456348067e-7
2501.59,3.544908357898849e-7
2501.6,5.890034533896694e-7
2501.61,0.000001417923548409655
2501.62,0.00000417476151820297
2501.63,0.000002822285117216396
2501.64,8.544254679132454e-7
2501.65,3.8018155667410544e-7
2501.66,2.2314088268721792e-7
2501.67,1.535646947608439e-7
2501.68,1.1795371442457167e-7
2501.69,1.0119663064414837e-7
2501.7,1.107753884471163e-7
2501.71,9.269663988597309e-8
2501.72,7.561551881865703e-8
2501.73,7.706055812837879e-8
2501.74,9.886742813565626e-8
2501.75,1.8107120887772924e-7
2501.76,4.733812382318809e-7
2501.77,2.625323199281833e-7
2501.78,1.2156846246982385e-7
2501.79,7.864247562640448e-8
2501.8,5.876543702239281e-8
2501.81,6.54623416917307e-8
2501.82,8.439143551466911e-8
2501.83,6.08966922112298e-8
2501.84,4.3791458641142106e-8
2501.85,3.9557476410845874e-8
2501.86,3.886065533821462e-8
2501.87,3.753644632292811e-8
2501.88,3.683256612038765e-8
2501.89,3.70983539663971e-8
2501.9,3.8385528826159586e-8
2501.91,4.149238605516176e-8
2501.92,4.916723693594071e-8
2501.93,4.685157593950129e-8
2501.94,5.2495504544549716e-8
2501.95,6.80791111121878e-8
2501.96,6.227886045405866e-8
2501.97,6.476470414298321e-8
2501.98,8.55140195247501e-8
2501.99,1.6319147910086835e-7
2502,3.308229376987132e-7
2502.01,5.986121718097816e-7
2502.02,8.013725708801865e-7
2502.03,2.5206051336534167e-7
2502.04,1.1481352006538196e-7
2502.05,7.865514038553166e-8
2502.06,6.469503975310236e-8
2502.07,5.851048328264417e-8
2502.08,5.581565843187461e-8
2502.09,5.520030107706271e-8
2502.1,5.677368803039092e-8
2502.11,6.262294812281104e-8
2502.12,7.122800514388529e-8
2502.13,6.404606206192944e-8
2502.14,6.284505569131526e-8
2502.15,6.520593122654907e-8
2502.16,6.994641699552176e-8
2502.17,7.850289859882627e-8
2502.18,9.633067052834322e-8
2502.19,1.4924055006332388e-7
2502.2,3.878829351689771e-7
2502.21,5.027468557355291e-7
2502.22,1.920829687711791e-7
2502.23,1.207925013026186e-7
2502.24,1.0513454260280388e-7
2502.25,1.0247570573146572e-7
2502.26,1.0482978468521559e-7
2502.27,1.0923630641585178e-7
2502.28,1.1637329022552306e-7
2502.29,1.273985078648209e-7
2502.3,1.495903396462615e-7
2502.31,1.7789832335347283e-7
2502.32,1.6988283912663207e-7
2502.33,1.7718570293084669e-7
2502.34,1.9540898543373836e-7
2502.35,2.2094490380049435e-7
2502.36,2.554958202767816e-7
2502.37,3.037448140237505e-7
2502.38,3.7547853858743806e-7
2502.39,4.934108206922344e-7
2502.4,7.179979092053054e-7
2502.41,0.0000012622023376405255
2502.42,0.0000032173767075005014
2502.43,0.000007335117746406196
2502.44,0.0000039294843484974716
2502.45,0.0000019375394706165556
2502.46,0.000001935512199891821
2502.47,0.000003780581429574312
2502.48,0.000007853820479024529
2502.49,0.00000529097111403986
2502.5,0.00000272463737828319
2502.51,0.000002161980074024721
2502.52,0.000002543343408427707
2502.53,0.000003654167442770474
2502.54,0.0000062805567257889046
2502.55,0.000013890035232257803
2502.56,0.00004398866944612559
2502.57,0.00008162795554693117
2502.58,0.000031225546612554644
2502.59,0.000010764510255311982
