trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,source_mode,available_sources,peak_source,peak_wavenumber_cm-1,peak_exomol_absorbance,peak_hitran_absorbance,exomol_line_count,hitran_line_count,line_count,exomol_source_file_count,hitran_source_file_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
37,34,1,dJ_+1,13,12,13,J 12->13,exomol_only,exomol,exomol,3066.730000,5.854367942543e-15,0.000000000000e+00,6531,0,6531,5,0,100001,5.854367942543e-15,6.433702609096e-15,#71fe5f,5,yes,no
38,38,-1,dJ_-1,12,13,12,J 13->12,exomol_only,exomol,exomol,2807.700000,4.010881559542e-15,0.000000000000e+00,4689,0,4689,5,0,100001,4.010881559542e-15,1.486997732272e-15,#7dff56,5,yes,no
39,40,0,dJ_+0,13,13,13,J 13->13,exomol_only,exomol,exomol,2929.490000,3.102131514459e-15,0.000000000000e+00,6132,0,6132,5,0,100001,3.102131514459e-15,2.564959289791e-15,#8bff4b,5,yes,no
40,37,1,dJ_+1,14,13,14,J 13->14,exomol_only,exomol,exomol,3076.960000,4.270681055860e-15,0.000000000000e+00,7028,0,7028,5,0,100001,4.270681055860e-15,3.666800040606e-15,#96fe44,5,yes,no
41,43,-1,dJ_-1,14,14,13,J 14->13,exomol_only,exomol,exomol,2859.690000,1.443057097030e-15,0.000000000000e+00,8058,0,8058,5,0,100001,1.443057097030e-15,1.065353186952e-15,#9ffd3f,5,yes,no
42,41,0,dJ_+0,14,14,14,J 14->14,exomol_only,exomol,exomol,2927.220000,2.127216037967e-15,0.000000000000e+00,9197,0,9197,5,0,100001,2.127216037967e-15,1.632511080593e-15,#a7fc3a,5,yes,no
43,42,1,dJ_+1,15,14,15,J 14->15,exomol_only,exomol,exomol,3086.560000,1.808541102344e-15,0.000000000000e+00,11649,0,11649,5,0,100001,1.808541102344e-15,2.383883904453e-15,#affa37,5,yes,no
44,47,-1,dJ_-1,15,15,14,J 15->14,exomol_only,exomol,exomol,2832.490000,4.504127866721e-16,0.000000000000e+00,9017,0,9017,5,0,100001,4.504127866721e-16,5.515533828670e-16,#b7f735,5,yes,no
45,45,0,dJ_+0,15,15,15,J 15->15,exomol_only,exomol,exomol,2979.520000,5.426618355919e-16,0.000000000000e+00,11421,0,11421,5,0,100001,5.426618355919e-16,9.408187749114e-16,#c1f334,5,yes,no
46,44,1,dJ_+1,16,15,16,J 15->16,exomol_only,exomol,exomol,3096.940000,7.955902877352e-16,0.000000000000e+00,12195,0,12195,5,0,100001,7.955902877352e-16,1.270757535438e-15,#c8ef34,5,yes,no
47,49,-1,dJ_-1,16,16,15,J 16->15,exomol_only,exomol,exomol,2818.690000,2.662330123985e-16,0.000000000000e+00,12453,0,12453,5,0,100001,2.662330123985e-16,3.428596980014e-16,#d0ea34,5,yes,no
48,48,0,dJ_+0,16,16,16,J 16->16,exomol_only,exomol,exomol,2943.030000,3.120234282355e-16,0.000000000000e+00,13266,0,13266,5,0,100001,3.120234282355e-16,5.249576180221e-16,#d7e535,5,yes,no
49,46,1,dJ_+1,17,16,17,J 16->17,exomol_only,exomol,exomol,3106.040000,4.697976889982e-16,0.000000000000e+00,16814,0,16814,5,0,100001,4.697976889982e-16,7.171505058117e-16,#dde037,5,yes,no
50,52,-1,dJ_-1,17,17,16,J 17->16,exomol_only,exomol,exomol,2809.900000,1.375642284396e-16,0.000000000000e+00,14724,0,14724,5,0,100001,1.375642284396e-16,1.705185650282e-16,#e3db38,5,yes,no
51,51,0,dJ_+0,17,17,17,J 17->17,exomol_only,exomol,exomol,2980.390000,1.445866894137e-16,0.000000000000e+00,18670,0,18670,5,0,100001,1.445866894137e-16,2.783253800799e-16,#ebd339,5,yes,no
52,50,1,dJ_+1,18,17,18,J 17->18,exomol_only,exomol,exomol,3112.360000,2.052694798332e-16,0.000000000000e+00,21584,0,21584,5,0,100001,2.052694798332e-16,3.729688742686e-16,#efcd3a,5,yes,no
53,55,-1,dJ_-1,18,18,17,J 18->17,exomol_only,exomol,exomol,2798.820000,5.037037257456e-17,0.000000000000e+00,18809,0,18809,5,0,100001,5.037037257456e-17,8.465974694876e-17,#f4c73a,5,yes,no
54,54,0,dJ_+0,18,18,18,J 18->18,exomol_only,exomol,exomol,2973.100000,5.374187170153e-17,0.000000000000e+00,21782,0,21782,5,0,100001,5.374187170153e-17,1.319732859293e-16,#f7c13a,5,yes,no
55,53,1,dJ_+1,19,18,19,J 18->19,exomol_only,exomol,exomol,3144.080000,7.853807435166e-17,0.000000000000e+00,25120,0,25120,5,0,100001,7.853807435166e-17,1.876749969268e-16,#faba39,5,yes,no
56,57,-1,dJ_-1,19,19,18,J 19->18,exomol_only,exomol,exomol,2788.690000,3.280915918232e-17,0.000000000000e+00,24291,0,24291,5,0,100001,3.280915918232e-17,3.855140109670e-17,#fcb336,5,yes,no
57,58,0,dJ_+0,19,19,19,J 19->19,exomol_only,exomol,exomol,2974.450000,2.554104784744e-17,0.000000000000e+00,28029,0,28029,5,0,100001,2.554104784744e-17,6.414961787844e-17,#fdac34,5,yes,no
58,56,1,dJ_+1,20,19,20,J 19->20,exomol_only,exomol,exomol,3122.500000,3.293179590078e-17,0.000000000000e+00,30739,0,30739,5,0,100001,3.293179590078e-17,8.325298986223e-17,#fea130,5,yes,no
59,60,-1,dJ_-1,20,20,19,J 20->19,exomol_only,exomol,exomol,2778.030000,1.114791523180e-17,0.000000000000e+00,31410,0,31410,5,0,100001,1.114791523180e-17,1.725717601382e-17,#fe992c,5,yes,no
60,61,0,dJ_+0,20,20,20,J 20->20,exomol_only,exomol,exomol,2970.720000,7.965492378543e-18,0.000000000000e+00,34502,0,34502,5,0,100001,7.965492378543e-18,2.703587447886e-17,#fe9029,5,yes,no
61,59,1,dJ_+1,21,20,21,J 20->21,exomol_only,exomol,exomol,3140.330000,1.134161077725e-17,0.000000000000e+00,37564,0,37564,5,0,100001,1.134161077725e-17,3.507517442443e-17,#fc8725,5,yes,no
62,64,-1,dJ_-1,21,21,20,J 21->20,exomol_only,exomol,exomol,2766.650000,3.596916688333e-18,0.000000000000e+00,37595,0,37595,5,0,100001,3.596916688333e-18,7.222565167922e-18,#fb7e21,5,yes,no
63,62,0,dJ_+0,21,21,21,J 21->21,exomol_only,exomol,exomol,2973.120000,3.999641281048e-18,0.000000000000e+00,40974,0,40974,5,0,100001,3.999641281048e-18,1.139737545850e-17,#f9751d,5,yes,no
64,63,1,dJ_+1,22,21,22,J 21->22,exomol_only,exomol,exomol,3218.750000,3.716077760406e-18,0.000000000000e+00,46725,0,46725,5,0,100001,3.716077760406e-18,1.538849994127e-17,#f56918,5,yes,no
65,65,-1,dJ_-1,22,22,21,J 22->21,exomol_only,exomol,exomol,2755.280000,1.833653299967e-18,0.000000000000e+00,45159,0,45159,5,0,100001,1.833653299967e-18,2.759735021138e-18,#f26014,5,yes,no
66,67,0,dJ_+0,22,22,22,J 22->22,exomol_only,exomol,exomol,2967.380000,9.974500722911e-19,0.000000000000e+00,51465,0,51465,5,0,100001,9.974500722911e-19,4.467062168471e-18,#ef5811,5,yes,no
67,66,1,dJ_+1,23,22,23,J 22->23,exomol_only,exomol,exomol,3171.590000,1.797667574149e-18,0.000000000000e+00,55116,0,55116,5,0,100001,1.797667574149e-18,5.809938926299e-18,#eb500e,5,yes,no
68,69,-1,dJ_-1,23,23,22,J 23->22,exomol_only,exomol,exomol,2749.160000,4.347766372892e-19,0.000000000000e+00,54830,0,54830,5,0,100001,4.347766372892e-19,9.612470859035e-19,#e7490c,5,yes,no
69,70,0,dJ_+0,23,23,23,J 23->23,exomol_only,exomol,exomol,2883.690000,4.033506731975e-19,0.000000000000e+00,58646,0,58646,5,0,100001,4.033506731975e-19,1.549544705315e-18,#e2430a,5,yes,no
70,68,1,dJ_+1,24,23,24,J 23->24,exomol_only,exomol,exomol,3159.270000,6.732862789455e-19,0.000000000000e+00,62510,0,62510,5,0,100001,6.732862789455e-19,1.981832554199e-18,#dc3b07,5,yes,no
