trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,source_mode,available_sources,peak_source,peak_wavenumber_cm-1,peak_exomol_absorbance,peak_hitran_absorbance,exomol_line_count,hitran_line_count,line_count,exomol_source_file_count,hitran_source_file_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
12,4,0,dJ_+0,2,4,4,J 4->4,exomol_only,exomol,exomol,2919.450000,4.541586649919e-20,0.000000000000e+00,1043,0,1043,5,0,100001,4.541586649919e-20,1.101171157628e-20,#23c3e4,5,yes,yes
13,15,1,dJ_+1,5,4,5,J 4->5,exomol_only,exomol,exomol,3063.250000,2.239862836947e-20,0.000000000000e+00,1945,0,1945,5,0,100001,2.239862836947e-20,1.506928122533e-20,#1bd0d5,5,yes,yes
14,9,-1,dJ_-1,3,5,4,J 5->4,exomol_only,exomol,exomol,2967.220000,3.045567043533e-20,0.000000000000e+00,1717,0,1717,5,0,100001,3.045567043533e-20,1.169188323893e-20,#18dbc5,5,yes,yes
15,12,0,dJ_+0,4,5,5,J 5->5,exomol_only,exomol,exomol,2916.780000,2.483168144958e-20,0.000000000000e+00,3189,0,3189,5,0,100001,2.483168144958e-20,1.596894935414e-20,#1ae4b6,5,yes,yes
16,8,1,dJ_+1,3,5,6,J 5->6,exomol_only,exomol,exomol,2987.840000,3.277003440258e-20,0.000000000000e+00,3859,0,3859,5,0,100001,3.277003440258e-20,1.760854346602e-20,#25eca7,5,yes,yes
17,10,-1,dJ_-1,4,6,5,J 6->5,exomol_only,exomol,exomol,2863.040000,2.874618006048e-20,0.000000000000e+00,3425,0,3425,5,0,100001,2.874618006048e-20,1.313189081588e-20,#35f394,5,yes,yes
18,17,0,dJ_+0,6,6,6,J 6->6,exomol_only,exomol,exomol,2925.600000,1.615913246240e-20,0.000000000000e+00,4102,0,4102,5,0,100001,1.615913246240e-20,1.417945286070e-20,#4af880,5,yes,yes
19,16,1,dJ_+1,6,6,7,J 6->7,exomol_only,exomol,exomol,2995.530000,1.953184402873e-20,0.000000000000e+00,5396,0,5396,5,0,100001,1.953184402873e-20,1.579313976121e-20,#61fc6c,5,yes,yes
20,20,-1,dJ_-1,6,7,6,J 7->6,exomol_only,exomol,exomol,2951.740000,1.262177294622e-20,0.000000000000e+00,4594,0,4594,5,0,100001,1.262177294622e-20,1.107372024246e-20,#79fe59,5,yes,yes
21,19,0,dJ_+0,7,7,7,J 7->7,exomol_only,exomol,exomol,2918.290000,1.347340694455e-20,0.000000000000e+00,5937,0,5937,5,0,100001,1.347340694455e-20,1.347405124754e-20,#8fff49,5,yes,yes
22,18,1,dJ_+1,7,7,8,J 7->8,exomol_only,exomol,exomol,2937.020000,1.393601966299e-20,0.000000000000e+00,8148,0,8148,5,0,100001,1.393601966299e-20,1.736959930385e-20,#a4fc3c,5,yes,yes
23,24,-1,dJ_-1,8,8,7,J 8->7,exomol_only,exomol,exomol,2844.270000,9.545420633575e-21,0.000000000000e+00,8160,0,8160,5,0,100001,9.545420633575e-21,9.898476193514e-21,#b4f836,5,yes,yes
24,22,0,dJ_+0,8,8,8,J 8->8,exomol_only,exomol,exomol,2847.040000,1.121384215622e-20,0.000000000000e+00,11025,0,11025,5,0,100001,1.121384215622e-20,1.371820890351e-20,#c3f134,5,yes,yes
25,23,1,dJ_+1,8,8,9,J 8->9,exomol_only,exomol,exomol,3068.860000,1.056588377339e-20,0.000000000000e+00,12898,0,12898,5,0,100001,1.056588377339e-20,1.429400288953e-20,#d2e935,5,yes,yes
26,27,-1,dJ_-1,9,9,8,J 9->8,exomol_only,exomol,exomol,2833.980000,5.231132787614e-21,0.000000000000e+00,15321,0,15321,5,0,100001,5.231132787614e-21,9.490770251850e-21,#dfdf37,5,yes,no
27,25,0,dJ_+0,9,9,9,J 9->9,exomol_only,exomol,exomol,2976.180000,7.918800404545e-21,0.000000000000e+00,17995,0,17995,5,0,100001,7.918800404545e-21,1.118633098859e-20,#ebd339,5,yes,no
28,30,1,dJ_+1,11,9,10,J 9->10,exomol_only,exomol,exomol,3011.630000,3.717289563544e-21,0.000000000000e+00,20577,0,20577,5,0,100001,3.717289563544e-21,1.237299789532e-20,#f4c73a,5,yes,no
29,31,-1,dJ_-1,10,10,9,J 10->9,exomol_only,exomol,exomol,2893.900000,3.061999009186e-21,0.000000000000e+00,18792,0,18792,5,0,100001,3.061999009186e-21,5.966302930312e-21,#faba39,5,yes,no
30,29,0,dJ_+0,10,10,10,J 10->10,exomol_only,exomol,exomol,2851.540000,4.108031509790e-21,0.000000000000e+00,21564,0,21564,5,0,100001,4.108031509790e-21,7.451999871850e-21,#fdac34,5,yes,no
31,28,1,dJ_+1,10,10,11,J 10->11,exomol_only,exomol,exomol,3085.240000,4.742167133871e-21,0.000000000000e+00,27267,0,27267,5,0,100001,4.742167133871e-21,9.334230953750e-21,#fe9b2d,5,yes,no
32,36,-1,dJ_-1,11,11,10,J 11->10,exomol_only,exomol,exomol,2880.100000,1.294562105205e-21,0.000000000000e+00,28521,0,28521,5,0,100001,1.294562105205e-21,4.525844961584e-21,#fd8a26,5,yes,no
33,32,0,dJ_+0,11,11,11,J 11->11,exomol_only,exomol,exomol,2850.990000,2.294831904100e-21,0.000000000000e+00,36017,0,36017,5,0,100001,2.294831904100e-21,6.378629408913e-21,#f9751d,5,yes,no
34,34,1,dJ_+1,13,11,12,J 11->12,exomol_only,exomol,exomol,3098.090000,1.918161388785e-21,0.000000000000e+00,44066,0,44066,5,0,100001,1.918161388785e-21,8.052983928526e-21,#f36315,5,yes,no
35,37,-1,dJ_-1,12,12,11,J 12->11,exomol_only,exomol,exomol,2803.250000,1.227433419727e-21,0.000000000000e+00,37960,0,37960,5,0,100001,1.227433419727e-21,2.957321490414e-21,#ec530f,5,yes,no
36,35,0,dJ_+0,12,12,12,J 12->12,exomol_only,exomol,exomol,2978.820000,1.445672640893e-21,0.000000000000e+00,46304,0,46304,5,0,100001,1.445672640893e-21,4.185075245269e-21,#e4450a,5,yes,no
37,33,1,dJ_+1,12,12,13,J 12->13,exomol_only,exomol,exomol,3103.440000,2.275695465212e-21,0.000000000000e+00,61886,0,61886,5,0,100001,2.275695465212e-21,5.772201172413e-21,#da3907,5,yes,no
38,40,-1,dJ_-1,13,13,12,J 13->12,exomol_only,exomol,exomol,2787.900000,3.723626796486e-22,0.000000000000e+00,60387,0,60387,5,0,100001,3.723626796486e-22,2.311316480823e-21,#ce2d04,5,yes,no
39,39,0,dJ_+0,13,13,13,J 13->13,exomol_only,exomol,exomol,2917.070000,4.059188900283e-22,0.000000000000e+00,80428,0,80428,5,0,100001,4.059188900283e-22,3.463965102159e-21,#c12302,5,yes,no
40,38,1,dJ_+1,14,13,14,J 13->14,exomol_only,exomol,exomol,3111.580000,6.237744982543e-22,0.000000000000e+00,92945,0,92945,5,0,100001,6.237744982543e-22,4.554961273868e-21,#b21a01,5,yes,no
41,41,-1,dJ_-1,14,14,13,J 14->13,exomol_only,exomol,exomol,2835.070000,3.280614728875e-22,0.000000000000e+00,50264,0,50264,5,0,100001,3.280614728875e-22,8.984680179374e-22,#a11201,5,yes,no
42,42,0,dJ_+0,14,14,14,J 14->14,exomol_only,exomol,exomol,2977.210000,3.000251898020e-22,0.000000000000e+00,57872,0,57872,5,0,100001,3.000251898020e-22,1.180759379032e-21,#8e0a01,5,yes,no
43,43,1,dJ_+1,15,14,15,J 14->15,exomol_only,exomol,exomol,3122.030000,2.467146920978e-22,0.000000000000e+00,70530,0,70530,5,0,100001,2.467146920978e-22,1.642413606407e-21,#7a0403,5,yes,no
